file,patch,size_mb,games_est,deaths,spells,attacks,damage,items,n_champs,champs
batch_009.jsonl.gz,12_22,1012.4,11,0,37685,32347,315269,2178,69,aatrox|ahri|alistar|amumu|aphelios|blitzcrank|brand|caitlyn|camille|cassiopeia|diana|drmundo|ekko|evelynn|ezreal|fiora|fizz|gnar|hecarim|heimerdinger|irelia|janna|jax|jhin|jinx|kaisa|karthus|khazix|kogmaw|ksante|lissandra|lux|missfortune|nautilus|nidalee|nilah|ornn|poppy|pyke|qiyana|rakan|riven|rumble|senna|seraphine|sett|shen|soraka|sylas|syndra|taliyah|talon|thresh|tristana|twitch|udyr|varus|vayne|vex|vi|viego|vladimir|xayah|yasuo|yone|yuumi|zac|zed|zilean
batch_006.jsonl.gz,12_22,1348.9,15,0,46502,41445,411919,3134,80,aatrox|akali|alistar|amumu|anivia|aphelios|ashe|aurelionsol|bard|brand|caitlyn|chogath|diana|ekko|ezreal|fiora|gangplank|gragas|graves|gwen|hecarim|heimerdinger|irelia|jax|jayce|jhin|kaisa|karma|kayn|kogmaw|ksante|leesin|lillia|lissandra|lucian|lulu|maokai|mordekaiser|nautilus|nidalee|olaf|orianna|ornn|poppy|pyke|qiyana|renata|renekton|rengar|riven|rumble|samira|sejuani|shaco|singed|sion|sivir|sylas|syndra|taliyah|talon|teemo|thresh|tryndamere|twitch|udyr|varus|vayne|veigar|velkoz|viego|vladimir|xinzhao|yasuo|yone|yuumi|zed|zilean|zoe|zyra
batch_003.jsonl.gz,12_22,1524.0,17,0,55099,47646,472693,3111,96,aatrox|akali|akshan|anivia|ashe|brand|braum|caitlyn|camille|cassiopeia|diana|draven|drmundo|ekko|ezreal|fiora|galio|gangplank|garen|gragas|graves|hecarim|heimerdinger|illaoi|irelia|jax|jinx|kaisa|kalista|karma|karthus|kassadin|katarina|khazix|kled|kogmaw|ksante|leesin|lillia|lucian|lulu|lux|maokai|masteryi|missfortune|nami|nasus|nautilus|neeko|nidalee|nilah|nunu|pantheon|poppy|rakan|reksai|renata|renekton|rengar|riven|rumble|ryze|senna|seraphine|shaco|shen|shyvana|singed|skarner|sona|soraka|swain|sylas|syndra|tahmkench|talon|taric|teemo|tryndamere|twitch|varus|vayne|velkoz|vex|viego|viktor|vladimir|volibear|xerath|xinzhao|yasuo|yone|yuumi|zac|zoe|zyra
batch_001.jsonl.gz,12_22,1917.0,23,0,67258,61702,588753,3858,99,aatrox|akali|akshan|anivia|aphelios|ashe|aurelionsol|azir|bard|blitzcrank|brand|caitlyn|camille|chogath|corki|draven|drmundo|elise|ezreal|fiora|fizz|galio|gangplank|gnar|gragas|graves|hecarim|heimerdinger|irelia|janna|jarvaniv|jax|jayce|jhin|kaisa|karma|karthus|kassadin|katarina|kayn|kennen|khazix|kindred|kogmaw|ksante|leesin|lillia|lissandra|lucian|lulu|lux|maokai|missfortune|monkeyking|nami|neeko|nilah|nunu|ornn|pantheon|quinn|rakan|rell|renata|renekton|rengar|riven|rumble|ryze|sejuani|senna|seraphine|sett|shaco|shen|shyvana|singed|sivir|skarner|sona|soraka|swain|sylas|syndra|talon|teemo|thresh|udyr|varus|vi|viego|vladimir|yasuo|yone|yorick|zed|zilean|zoe|zyra
batch_004.jsonl.gz,12_22,1916.7,23,0,68914,59023,583235,4095,102,aatrox|akali|amumu|aphelios|ashe|aurelionsol|azir|bard|blitzcrank|brand|caitlyn|camille|chogath|corki|darius|diana|draven|ekko|evelynn|ezreal|fiora|galio|gangplank|garen|gragas|graves|hecarim|illaoi|irelia|janna|jarvaniv|jax|jayce|jhin|jinx|kaisa|kalista|karma|karthus|kayle|kayn|kindred|kled|ksante|leblanc|leesin|leona|lucian|lulu|lux|maokai|missfortune|mordekaiser|nami|nasus|nidalee|nunu|olaf|ornn|poppy|pyke|qiyana|rakan|rell|renata|rengar|riven|rumble|ryze|sejuani|senna|seraphine|singed|sion|sivir|soraka|sylas|syndra|taliyah|talon|thresh|tristana|trundle|tryndamere|twitch|udyr|varus|vayne|viego|viktor|vladimir|warwick|xayah|xinzhao|yasuo|yone|yorick|zac|zed|ziggs|zoe|zyra
batch_002.jsonl.gz,12_22,1943.8,23,0,73064,62475,605709,4331,99,aatrox|akali|akshan|alistar|amumu|anivia|aphelios|ashe|aurelionsol|bard|belveth|blitzcrank|brand|caitlyn|camille|cassiopeia|chogath|corki|diana|ekko|elise|evelynn|ezreal|fiora|fizz|galio|gangplank|graves|hecarim|heimerdinger|illaoi|irelia|jarvaniv|jax|jayce|jhin|jinx|kaisa|karma|karthus|kassadin|katarina|khazix|kindred|kled|kogmaw|ksante|leesin|lillia|lucian|lulu|missfortune|monkeyking|mordekaiser|morgana|nami|nautilus|nidalee|nunu|ornn|pyke|qiyana|quinn|rakan|rammus|renata|rengar|riven|rumble|ryze|samira|sejuani|seraphine|sett|shyvana|singed|sion|swain|sylas|tahmkench|taliyah|talon|teemo|thresh|tristana|tryndamere|udyr|varus|vayne|velkoz|vi|viego|viktor|vladimir|yasuo|yone|yorick|zac|zed
batch_005.jsonl.gz,12_22,1965.4,24,0,69715,61660,599200,4195,103,aatrox|akali|amumu|anivia|ashe|aurelionsol|bard|belveth|blitzcrank|braum|caitlyn|camille|cassiopeia|darius|draven|drmundo|ekko|ezreal|fiora|fizz|galio|gangplank|gnar|gragas|graves|hecarim|heimerdinger|illaoi|irelia|jarvaniv|jax|jayce|jhin|jinx|kaisa|kalista|karma|karthus|kassadin|katarina|kayn|kennen|kled|kogmaw|ksante|lillia|lucian|lulu|lux|masteryi|missfortune|nami|nautilus|nidalee|nilah|nunu|ornn|pyke|qiyana|rakan|rammus|renata|renekton|rengar|riven|rumble|ryze|sejuani|senna|sett|shen|shyvana|singed|sion|sivir|sona|soraka|swain|sylas|syndra|tahmkench|taliyah|tristana|tryndamere|twistedfate|twitch|udyr|vayne|velkoz|viego|viktor|vladimir|xayah|xerath|yasuo|yone|yuumi|zac|zed|ziggs|zilean|zoe|zyra
batch_007.jsonl.gz,12_22,1967.7,26,0,66693,62904,611557,4140,104,aatrox|ahri|akali|anivia|aphelios|ashe|azir|belveth|blitzcrank|brand|caitlyn|camille|darius|draven|drmundo|ekko|evelynn|ezreal|fiora|fizz|gangplank|garen|gnar|gragas|graves|gwen|hecarim|heimerdinger|irelia|ivern|janna|jax|jayce|jhin|jinx|kaisa|kalista|karma|kassadin|katarina|kayn|khazix|kindred|kogmaw|ksante|leesin|leona|lillia|lissandra|lucian|lulu|lux|malzahar|maokai|monkeyking|mordekaiser|nami|nasus|nautilus|nilah|olaf|ornn|pantheon|pyke|rakan|rell|renata|renekton|rengar|riven|rumble|ryze|sejuani|senna|shaco|singed|sion|sona|soraka|swain|sylas|syndra|taliyah|talon|teemo|tristana|tryndamere|twistedfate|twitch|udyr|vayne|velkoz|vex|vi|viego|viktor|xayah|yasuo|yone|yorick|yuumi|zac|zed|zoe
batch_008.jsonl.gz,12_22,1986.5,27,0,67775,63962,611072,4304,111,aatrox|ahri|akali|aphelios|ashe|bard|belveth|blitzcrank|brand|caitlyn|camille|cassiopeia|chogath|darius|diana|draven|drmundo|ekko|evelynn|ezreal|fiddlesticks|fiora|fizz|gangplank|garen|gragas|graves|hecarim|heimerdinger|illaoi|irelia|janna|jarvaniv|jax|jayce|jhin|jinx|kaisa|karma|karthus|kassadin|katarina|kayn|kennen|khazix|kindred|kled|kogmaw|ksante|leblanc|leesin|lillia|lucian|lux|malzahar|maokai|missfortune|mordekaiser|nami|nautilus|neeko|nidalee|nilah|nunu|ornn|pantheon|qiyana|quinn|rakan|rell|renata|renekton|rengar|riven|rumble|ryze|samira|senna|seraphine|shen|singed|sion|soraka|swain|sylas|syndra|tahmkench|taliyah|talon|taric|teemo|thresh|tristana|tryndamere|twitch|varus|vayne|veigar|vex|vi|viktor|vladimir|volibear|xerath|xinzhao|yasuo|yone|yorick|zac|zed|zeri
batch_010.jsonl.gz,12_22,1982.8,24,0,69034,63716,614224,4160,117,aatrox|ahri|akali|alistar|amumu|anivia|aphelios|ashe|aurelionsol|azir|bard|belveth|brand|braum|caitlyn|camille|cassiopeia|chogath|darius|diana|draven|drmundo|ekko|evelynn|ezreal|fiddlesticks|fiora|galio|gangplank|garen|gragas|graves|gwen|hecarim|heimerdinger|illaoi|irelia|janna|jarvaniv|jax|jhin|kaisa|karma|katarina|kayle|kayn|khazix|kogmaw|ksante|leesin|lillia|lissandra|lucian|lulu|malphite|masteryi|monkeyking|nami|nasus|nautilus|nidalee|nilah|nocturne|nunu|olaf|orianna|ornn|poppy|pyke|qiyana|reksai|renata|renekton|rengar|riven|rumble|ryze|samira|sejuani|senna|seraphine|sett|singed|sion|sona|soraka|swain|sylas|syndra|taliyah|talon|taric|teemo|thresh|tristana|trundle|tryndamere|twitch|udyr|varus|vayne|vi|viego|viktor|volibear|xayah|xerath|xinzhao|yasuo|yone|yorick|yuumi|zac|zed|zilean|zoe|zyra
